ID 	Study 	Case 	Ctrl 	Description 	Citation 	PMID 	Size 	QTL
1	Atrial Fibrillation 	"8,180 [M=5,713, F=2,467] "	"28,612 [M=11,223, F=17,389] "	Genome-wide association study and imputation analyses to identify susceptibility loci associated with atrial fibrillation in Japanese population. 	Identification of six new genetic loci associated with atrial fibrillation in the Japanese population 	28416822	119MB 	No
2	Rheumatoid Arthritis (Asian) 	"3,636"	"15,554"	Association results of rheumatoid arthritis GWAS meta-analysis using Asian samples. 	Genetics of rheumatoid arthritis contributes to biology and drug discovery 	24390342	165MB 	No
3	Rheumatoid Arthritis (Asian ChrX) 	"3,161"	"15,032"	Association results of rheumatoid arthritis GWAS meta-analysis using Asian samples. 	Genetics of rheumatoid arthritis contributes to biology and drug discovery 	24390342	4.63MB 	No
4	Rheumatoid Arthritis (European) 	"2,843"	"5,540"	Association results of rheumatoid arthritis GWAS meta-analysis using European samples. 	Genetics of rheumatoid arthritis contributes to biology and drug discovery 	24390342	242M 	No
5	Rheumatoid Arthritis (European ChrX) 	"3,654"	"8,367"	Association results of rheumatoid arthritis GWAS meta-analysis using European samples. 	Genetics of rheumatoid arthritis contributes to biology and drug discovery 	24390342	6.72MB 	No
6	Rheumatoid Arthritis (TransEthnic) 	"3,636"	"15,554"	Association results of rheumatoid arthritis GWAS meta-analysis using TransEthnic samples. 	Genetics of rheumatoid arthritis contributes to biology and drug discovery 	24390342	276MB 	No
8	"Open-angle glaucoma (autosomes, all) "	"3,980 [M=1,997, F=1,983] "	"18,815 [ M=7,817, F=10,998] "	Association results of Open-angle glaucoma GWAS using all samples. 	Genome-wide association study identifies seven novel susceptibility loci for primary open-angle glaucoma 	29452408	122MB 	No
11	Colorectal Cancer 	"6,692"	"27,178"	Association results of Colorectal cancer (CRC) GWAS. 	GWAS identifies two novel colorectal cancer loci at 16q24.1 and 20q13.12 	29471430	351MB 	No
14	Type 2 Diabetes 	"36,614"	"155,150"	Association results of Type 2 Diabetes GWAS in the Biobank Japan. 	Identification of 28 new susceptibility loci for type 2 diabetes in the Japanese population 	30718926	261 MB 	No
15	"Smoking behaviors : Smoking initiation (autosome, all) "	"83,810"	"81,626"	Association result of GWAS for smoking initiation in the Biobank Japan. 	"GWAS of smoking behaviour in 165,436 Japanese people reveals seven new loci and shared genetic architecture "	31089300	155MB 	No
20	"Smoking behaviors : Smoking cessation (autosome, all) "	"43,163"	"32,884"	Association result of GWAS for smoking cessation in the Biobank Japan. 	"GWAS of smoking behaviour in 165,436 Japanese people reveals seven new loci and shared genetic architecture "	31089300	155MB 	No
25	Adolescent idiopathic scoliosis (all) 	"5,327"	"73,884"	Association results of Adolescent idiopathic scoliosis GWAS in the Biobank Japan. 	Genome-wide association study identifies 14 previously unreported susceptibility loci for adolescent idiopathic scoliosis in Japanese 	31417091	207MB 	No
28	Arrhythmia 	"17,861 [M=11,525, F=6,336] "	"194,592 [M=97,822, F=96,770] "	Association result of GWAS for Arrhythmia in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		882MB 	No
30	Asthma 	"8,216 [M=3,932, F=4,284] "	"201,592 [M=103,089, F=98,503] "	Association result of GWAS for Asthma in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		880MB 	No
32	Atopic dermatitis 	"2,385 [M=1,262, F=1,123] "	"209,651 [M=107,862, F=101,789] "	Association result of GWAS for Atopic dermatitis in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		878MB 	No
34	Biliary tract cancer 	"339 [M=211, F=128] "	"195,745 [M=97,655, F=98,090] "	Association result of GWAS for Biliary tract cancer in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		821MB 	No
36	Cataract 	"24,622 [M=11,641, F=12,981] "	"187,831 [M=97,706, F=90,125] "	Association result of GWAS for Cataract in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		883MB 	No
38	Cerebral aneurysm 	"2,820 [M=1,002, F=1,818] "	"192,383 [M=97,455, F=94,928] "	Association result of GWAS for Cerebral aneurysm in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		878MB 	No
40	Cervical cancer 	"605 [M=0, F=605] "	"89,731 [M=0, F=89,731] "	Association result of GWAS for Cervical cancer in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		869MB 	No
41	Chronic hepatitis B 	"1,394 [M=878, F=516] "	"211,059 [M=108,469, F=102,590] "	Association result of GWAS for Chronic hepatitis B in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		876MB 	No
43	Chronic hepatitis C 	"5,794 [M=3,159, F=2,635] "	"206,659 [M=106,188, F=100,471] "	Association result of GWAS for Chronic hepatitis C in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		878MB 	No
45	Chronic obstructive pulmonary disease 	"3,315 [M=2,855, F=460] "	"201,592 [M=103,089, F=98,503] "	Association result of GWAS for Chronic obstructive pulmonary disease in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		878MB 	No
47	Cirrhosis 	"2,184 [M=1,347, F=837] "	"210,269 [M=108,000, F=102,269] "	Association result of GWAS for Cirrhosis in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		877MB 	No
49	Colorectal cancer 	"7,062 [M=4,496, F=2,566] "	"195,745 [M=97,655, F=98,090] "	Association result of GWAS for Colorectal cancer in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		880MB 	No
51	Congestive heart failure 	"9,413 [M=5,904, F=3,509] "	"203,040 [M=103,443, F=99,597] "	Association result of GWAS for Congestive heart failure in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		880MB 	No
53	Drug eruption 	"430 [M=230, F=200] "	"209,651 [M=107,862, F=101,789] "	Association result of GWAS for Drug eruption in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		868MB 	No
55	Endometrial cancer 	"999 [M=0, F=999] "	"89,731 [M=0, F=89,731] "	Association result of GWAS for Endometrial cancer in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		872MB 	No
56	Endometriosis 	"734 [M=0, F=734] "	"102,372 [M=0, F=102,372] "	Association result of GWAS for Endometriosis in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		872MB 	No
57	Epilepsy 	"2,143 [M=1,266, F=877] "	"210,310 [M=108,081, F=102,229] "	Association result of GWAS for Epilepsy in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		877MB 	No
59	Esophageal cancer 	"1,300 [M=1,132, F=168] "	"195,745 [M=97,655, F=98,090] "	Association result of GWAS for Esophageal cancer in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		875MB 	No
61	Gastric cancer 	"6,563 [M=4,885, F=1,678] "	"195,745 [M=97,655, F=98,090] "	Association result of GWAS for Gastric cancer in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		880MB 	No
63	Glaucoma 	"5,761 [M=2,770, F=2,991] "	"206,692 [M=106,577, F=100,115] "	Association result of GWAS for Glaucoma in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		879MB 	No
65	Graves' disease 	"2,176 [M=597, F=1,579] "	"210,277 [M=108,750, F=101,527] "	Association result of GWAS for Graves' disease in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		878MB 	No
67	Hematological malignancy 	"1,236 [M=701, F=535] "	"211,217 [M=108,646, F=102,571] "	Association result of GWAS for Hematological malignancy in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		875MB 	No
69	Interstitial lung disease 	"806 [M=495, F=311] "	"211,647 [M=108,852, F=102,795] "	Association result of GWAS for Interstitial lung disease in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		873MB 	No
71	Ischemic stroke 	"17,671 [M=11,081, F=6,590] "	"192,383 [M=97,455, F=94,928] "	Association result of GWAS for Ischemic stroke in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		882MB 	No
73	Keloid 	"812 [M=323, F=489] "	"211,641 [M=109,024, F=102,617] "	Association result of GWAS for Keloid in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		874MB 	No
75	Lung cancer 	"4,050 [M=2,710, F=1,340] "	"208,403 [M=106,637, F=101,766] "	Association result of GWAS for Lung cancer in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		877MB 	No
77	Nephrotic syndrome 	"957 [M=583, F=374] "	"211,496 [M=108,764, F=102,732] "	Association result of GWAS for Nephrotic syndrome in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		874MB 	No
79	Osteoporosis 	"7,788 [M=696, F=7,092] "	"204,665 [M=108,651, F=96,014] "	Association result of GWAS for Osteoporosis in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		880MB 	No
81	Ovarian cancer 	"720 [M=0, F=720] "	"89,731 [M=0, F=89,731] "	Association result of GWAS for Ovarian cancer in the Biobank Japan. 	Large scale genome-wide association study in a Japanese population identified 45 novel susceptibility loci for 22 diseases 		870MB 	No
